Plant #,Treatment,Germinant #,Germination Day,Height (on germination day) ,Root Length (mm),Root Weight (g),Total Weight (g),AGB Weight (g),notes,extra notes,,,,,,,,,,,,,,,,
14,NC_FL,3B,,,,,,,,,,,,,,,,,,,,,,,,
14,NC_FL,4A,24,7,76.32,0.0011,0.0063,0.0052,,,,,,,,,,,,,,,,,,
14,NC_FL,4B,,,,,,,,,,,,,,,,,,,,,,,,
14,NC_FL,5A,,,,,,,,,,,,,,,,,,,,,,,,
14,NC_FL,5B,,,,,,,,,,,,,,,,,,,,,,,,
14,NC_FL,6A,,,,,,,,,,,,,,,,,,,,,,,,
14,NC_FL,6B,,,,,,,,,,,,,,,,,,,,,,,,
14,NC_FL,7A,22,5,81.32,0.0013,0.0053,0.004,,,,,,,,,,,,,,,,,,
14,NC_FL,7B,,,,,,,,,,,,,,,,,,,,,,,,
14,NC_FL,8A,,,,,,,,,,,,,,,,,,,,,,,,
14,NC_FL,8B,,,,,,,,,,,,,,,,,,,,,,,,
14,NC_FL,9A,19,10,112.06,0.0019,0.0077,0.0058,,,,,,,,,,,,,,,,,,
14,NC_FL,9B,22,5,117.78,0.0011,0.0051,0.004,,,,,,,,,,,,,,,,,,
14,NC_FL,10A,19,11,73.25,0.0005,0.0039,0.0034,,,,,,,,,,,,,,,,,,
14,NC_FL,10B,19,9,77.15,0.0014,0.0079,0.0065,,,,,,,,,,,,,,,,,,
15,NC_NC,1A,,,,,,,,,,,,,,,,,,,,,,,,
15,NC_NC,1B,,,,,,,,,,,,,,,,,,,,,,,,
15,NC_NC,2A,36,4,21.56,0.0003,0.0018,0.0015,,,,,,,,,,,,,,,,,,
15,NC_NC,2B,,,,,,,,,,,,,,,,,,,,,,,,
15,NC_NC,3A,,,,,,,,,,,,,,,,,,,,,,,,
15,NC_NC,3B,,,,,,,,,,,,,,,,,,,,,,,,
15,NC_NC,4A,31,4,42.12,0.0002,0.0027,0.0025,,,,,,,,,,,,,,,,,,
15,NC_NC,4B,,,,,,,,,,,,,,,,,,,,,,,,
15,NC_NC,5A,,,,,,,,,,,,,,,,,,,,,,,,
15,NC_NC,5B,,,,,,,,,,,,,,,,,,,,,,,,
15,NC_NC,6A,,,,,,,,,,,,,,,,,,,,,,,,
15,NC_NC,6B,,,,,,,,,,,,,,,,,,,,,,,,
15,NC_NC,7A,33,7,62.75,0.0003,0.0025,0.0022,,,,,,,,,,,,,,,,,,
15,NC_NC,7B,,,,,,,,,,,,,,,,,,,,,,,,
15,NC_NC,8A,,,,,,,,,,,,,,,,,,,,,,,,
15,NC_NC,8B,,,,,,,,,,,,,,,,,,,,,,,,
15,NC_NC,9A,,,,,,,,,,,,,,,,,,,,,,,,
15,NC_NC,9B,,,,0.0004,0.0025,0.0021,,,,,,,,,,,,,,,,,,
15,NC_NC,10A,,,,,,,,,,,,,,,,,,,,,,,,
15,NC_NC,10B,,,,,,,,,,,,,,,,,,,,,,,,
16,NC_FL,1A,28,5,62.76,0.0006,0.003,0.0024,,,,,,,,,,,,,,,,,,
16,NC_FL,1B,,,,,,,,,,,,,,,,,,,,,,,,
16,NC_FL,2A,14,2,65.59,,,,,,,,,,,,,,,,,,,,,
16,NC_FL,2B,37,9,18.24,0.001,0.0021,0.0011,,,,,,,,,,,,,,,,,,
16,NC_FL,3A,,,,,,,,,,,,,,,,,,,,,,,,
16,NC_FL,3B,,,,,,,,,,,,,,,,,,,,,,,,
16,NC_FL,4A,22,6,108.62,0.0014,0.0045,0.0031,,,,,,,,,,,,,,,,,,
16,NC_FL,4B,,,,,,,,,,,,,,,,,,,,,,,,
16,NC_FL,5A,20,2,134.05,0.0013,0.0055,0.0042,,,,,,,,,,,,,,,,,,
16,NC_FL,5B,31,5,88.72,0.0002,0.0021,0.0019,,,,,,,,,,,,,,,,,,
16,NC_FL,6A,31,6,10.27,0.0014,0.0019,0.0005,,,,,,,,,,,,,,,,,,
